——————

Mystery Zone

Faraway place

Jubilife Village
Obsidian Fieldlands
Crimson Mirelands
Cobalt Coastlands
Coronet Highlands
Alabaster Icelands
Ancient Retreat
Aspiration Hill
Horseshoe Plains
Deertrack Path
Deertrack Heights
Obsidian Falls
Oreburrow Tunnel
Nature’s Pantry
The Heartwood
Grandtree Arena
Grueling Grove
Lake Verity
Sandgem Flats
Tidewater Dam
Floaro Gardens
Ramanas Island
Fieldlands Camp
Heights Camp
Windswept Run
Floaro Gardens
Worn Bridge
Moss Rock
Golden Lowlands
Solaceon Ruins
Gapejaw Bog
Sludge Mound
Scarlet Bog
Bolderoll Slope
Diamond Settlement
Lake Valor
Cloudpool Ridge
Shrouded Ruins

Holm of Trials
Droning Meadow
Mirelands Camp
Bogbound Camp
Crossing Slope
Ginkgo Landing
Deadwood Haunt
Hideaway Bay
Tombolo Walk
Veilstone Cape
Seagrass Haven
Firespit Island
Iscan’s Home
Spring Path
Lunker’s Lair
Islespy Shore
Windbreak Stand

Tidal Passage
Seaside Hollow
Beachside Camp
Coastlands Camp
Turnback Cave
Lava Dome Sanctum
Highlands Camp
Heavenward Lookout
Wayward Wood
Ancient Quarry
Celestica Trail
Lonely Spring
Fabled Spring
Bolderoll Ravine
Stonetooth Rows

Primeval Grotto
Clamberclaw Cliffs
Celestica Ruins
Moonview Arena
Summit Camp
Cloudcap Pass
Spear Pillar
Wayward Cave
Snowfields Camp
Whiteout Valley
Crevasse Passage
Bonechill Wastes

Avalugg’s Legacy
Glacier Terrace
Lake Acuity
Snowpoint Temple
Hibernal Cave
Icebound Falls
Avalanche Slopes
Arena’s Approach
Pearl Settlement
Heart’s Crag
Ice Column Chamber
Icepeak Camp
Verity Cavern
Valor Cavern
Cottonsedge Prairie
Mountain Camp
Stone Portal
Temple of Sinnoh
Ice Rock
Acuity Cavern
Icepeak Cavern
Secret Hollow
Galaxy Hall
General Store
Candy Stand
Craftworks
Ginkgo Guild Cart
Trading Post
Pastures
Clothier
Hairdresser
Photography Studio
Farm
Training Grounds
Folk Shrine
Your Quarters
Castaway Shore
Sand’s Reach
Sonorous Path
Sacred Plaza
Front Gate
Seaside Gate
Canala Avenue
Floaro Main Street
Prelude Beach
Practice Field
???
Brava Arena
Molten Arena
Icepeak Arena
Snowfall Hot Spring
First Floor
Second Floor
Third Floor
Basement
Ursa’s Ring
Diamond Heath
Aipom Hill
Bathers’ Lagoon
Tranquility Cove
Galaxy Hall
Front Gate
Farm
Training Grounds
